model,audio,duration,duration_after_vad,time,wer,wil,wip,mer
base,common_voice_it_27703537.mp3,6.912,6.912,0.8803751468658447,0.23076923076923078,0.3351648351648352,0.6648351648351648,0.21428571428571427
base,common_voice_it_26690702.mp3,5.94,5.94,0.7546525001525879,0.42857142857142855,0.6734693877551021,0.32653061224489793,0.42857142857142855
base,common_voice_it_17510630.mp3,5.928,5.368,0.7766036987304688,0.07142857142857142,0.1377551020408163,0.8622448979591837,0.07142857142857142
base,common_voice_it_39641526.mp3,5.508,5.172,0.693232536315918,0.2857142857142857,0.40476190476190477,0.5952380952380952,0.2857142857142857
base,common_voice_it_19266438.mp3,4.968,3.096,0.5489904880523682,0.75,0.875,0.125,0.75
base,common_voice_it_17867418.mp3,3.984,3.328,0.6496982574462891,0.2,0.3599999999999999,0.6400000000000001,0.2
base,common_voice_it_20024355.mp3,6.696,6.696,0.7439446449279785,0.14285714285714285,0.26530612244897966,0.7346938775510203,0.14285714285714285
base,common_voice_it_25463290.mp3,4.356,3.764,0.6454982757568359,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5
base,common_voice_it_19769858.mp3,4.416,3.184,1.671731948852539,1.0,1.0,0.0,1.0
base,common_voice_it_39573739.mp3,6.3,5.74,0.9262897968292236,0.3076923076923077,0.4505494505494505,0.5494505494505495,0.2857142857142857
base,common_voice_it_18810122.mp3,7.296,7.296,0.7679078578948975,0.4666666666666667,0.7155555555555555,0.28444444444444444,0.4666666666666667
base,common_voice_it_26969844.mp3,9.468,4.864,0.6955809593200684,0.5555555555555556,0.7222222222222222,0.2777777777777778,0.5
base,common_voice_it_20024719.mp3,7.128,6.312,0.6988413333892822,0.3,0.51,0.48999999999999994,0.3
base,common_voice_it_17853848.mp3,4.992,4.336,0.6465415954589844,0.5,0.6190476190476191,0.38095238095238093,0.42857142857142855
base,common_voice_it_23928130.mp3,5.544,5.544,4.882921457290649,1.0714285714285714,0.9955357142857143,0.004464285714285714,0.9375
base,common_voice_it_20226299.mp3,5.736,5.112,0.7690508365631104,0.375,0.609375,0.390625,0.375
base,common_voice_it_20264619.mp3,4.632,4.632,2.8848178386688232,1.8,0.98,0.020000000000000004,0.9
base,common_voice_it_25460881.mp3,3.708,3.148,0.6830122470855713,0.0,0.0,1.0,0.0
base,common_voice_it_31706489.mp3,6.516,5.316,0.7689085006713867,0.2727272727272727,0.47107438016528924,0.5289256198347108,0.2727272727272727
base,common_voice_it_20073924.mp3,4.2,3.608,0.6713716983795166,1.0,0.9666666666666667,0.03333333333333333,0.8333333333333334
base,common_voice_it_20266701.mp3,4.896,4.784,0.6393365859985352,0.42857142857142855,0.6734693877551021,0.32653061224489793,0.42857142857142855
base,common_voice_it_27417013.mp3,5.544,5.544,0.7187318801879883,0.5,0.6527777777777778,0.3472222222222222,0.4444444444444444
base,common_voice_it_18282830.mp3,3.24,3.24,0.7213172912597656,0.45454545454545453,0.5524475524475524,0.4475524475524476,0.38461538461538464
base,common_voice_it_37464142.mp3,8.1,8.1,1.0496678352355957,0.6153846153846154,0.8397435897435898,0.16025641025641027,0.6153846153846154
base,common_voice_it_19977983.mp3,6.12,5.848,0.951796293258667,0.42857142857142855,0.6142857142857143,0.38571428571428573,0.4
base,common_voice_it_20023569.mp3,5.448,5.448,0.9474406242370605,0.7,0.7727272727272727,0.22727272727272727,0.5833333333333334
base,common_voice_it_40034894.mp3,5.148,4.748,0.8023045063018799,0.15384615384615385,0.22435897435897445,0.7756410256410255,0.15384615384615385
base,common_voice_it_40368947.mp3,4.248,4.136,0.7727811336517334,0.1111111111111111,0.2098765432098766,0.7901234567901234,0.1111111111111111
base,common_voice_it_22425364.mp3,1.5935,1.5775,0.6523747444152832,0.5,0.75,0.25,0.5
base,common_voice_it_31260678.mp3,5.94,2.624,1.877403974533081,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666666
base,common_voice_it_20226744.mp3,5.184,4.88,0.7579829692840576,1.0909090909090908,1.0,0.0,1.0
